yyyyq,Index,D3,D12,E3,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
19054,9.54,NaN,0.33,NaN,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010956335,NaN,NaN,NaN,0.002804665,NaN,NaN,NaN,NaN
19061,9.56,NaN,0.348,NaN,0.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01023581,NaN,NaN,NaN,0.003832691,NaN,NaN,NaN,NaN
19062,9.3,NaN,0.365,NaN,0.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010713798,NaN,NaN,NaN,0.006165691,NaN,NaN,NaN,NaN
19063,10.03,NaN,0.383,NaN,0.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012161831,NaN,NaN,NaN,0.003597909,NaN,NaN,NaN,NaN
19064,9.84,NaN,0.4,NaN,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012764588,NaN,NaN,NaN,0.003495633,NaN,NaN,NaN,NaN
19071,8.35,NaN,0.41,NaN,0.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012375112,NaN,NaN,NaN,0.021202283,NaN,NaN,NaN,NaN
19072,7.84,NaN,0.42,NaN,0.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011331349,NaN,NaN,NaN,0.005670234,NaN,NaN,NaN,NaN
19073,7.45,NaN,0.43,NaN,0.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012771785,NaN,NaN,NaN,0.007407294,NaN,NaN,NaN,NaN
19074,6.57,NaN,0.44,NaN,0.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015247096,NaN,NaN,NaN,0.013699247,NaN,NaN,NaN,NaN
19081,6.87,NaN,0.43,NaN,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011595764,NaN,NaN,NaN,0.006504024,NaN,NaN,NaN,NaN
