yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1959,59.89,1.830,3.390,0.4577837965,0.0449,0.0458,0.0528,0.0447,0.2402627888,0.0229989877,0.0338091520,0.0149655680,0.2624397250,-0.0226635570,-0.0096678958,0.0084680141,0.0009753718,0.0315456512,0.1233644431,0.0875469655
1960,58.11,1.950,3.270,0.5504229651,0.0225,0.0435,0.0510,0.0380,0.2476154926,0.0231490012,0.0287967433,0.0147410354,0.2041559976,0.1379339434,0.0906649155,0.0099969301,-0.0013625136,0.0313569811,0.0053355835,-0.0289785592
1961,71.55,2.020,3.190,0.5059222584,0.0260,0.0442,0.0510,0.0415,0.2389377250,0.0206453829,0.0235185610,0.0067052210,0.2844120328,0.0096784267,0.0481831888,0.0064357079,-0.0022107435,0.0318749430,0.2708688357,0.2326652654
1962,63.10,2.130,3.670,0.5916270511,0.0287,0.0424,0.0492,0.0395,0.2426533517,0.0208222778,0.0277013160,0.0122093746,0.1621672116,0.0688294893,0.0794503633,0.0272787584,-0.0027965748,0.0327760006,-0.0875063134,-0.1186157691
1963,75.02,2.280,4.020,0.5255914542,0.0352,0.0435,0.0485,0.0417,0.2419594410,0.0089383870,0.0315498923,0.0164588878,0.1114743380,0.0121436448,0.0219487476,0.0074126331,-0.0014968686,0.0347854580,0.2270471624,0.1878701515
1964,84.75,2.500,4.550,0.4872273003,0.0384,0.0444,0.0481,0.0423,0.2318606924,0.0230537569,0.0354143161,0.0118783157,0.2214659311,0.0351170290,0.0477231318,0.0027945885,-0.0023805734,0.0369887810,0.1666917299,0.1320017618
1965,92.43,2.720,5.190,0.4306378062,0.0438,0.0468,0.0502,0.0450,0.2274096238,0.0207685125,0.0394267283,0.0191954882,0.1420710355,0.0070193698,-0.0045679390,0.0045891926,-0.0008128875,0.0418833124,0.1261180600,0.0920901370
1966,80.33,2.870,5.550,0.5769451056,0.0496,0.0539,0.0618,0.0455,0.2382426372,0.0171859796,0.0485263493,0.0334736752,0.1390471975,0.0364500828,0.0019529199,0.0139352897,-0.0000498789,0.0417958033,-0.1019659098,-0.1320676376
1967,96.47,2.920,5.330,0.5257924451,0.0497,0.0619,0.0693,0.0556,0.2172324358,0.0142490269,0.0429887949,0.0303788379,0.1146866683,-0.0917652652,-0.0495058682,0.0069893905,0.0029522247,0.0389886942,0.2396709441,0.2008821387
1968,103.86,3.070,5.760,0.5049006623,0.0596,0.0645,0.0723,0.0598,0.2073282372,0.0319477245,0.0532646362,0.0471437756,0.2086406264,-0.0025737775,0.0257391321,0.0073994538,0.0023475611,0.0390149605,0.1084116110,0.0744369324
1969,92.06,3.160,5.780,0.6510820131,0.0782,0.0772,0.0865,0.0687,0.2318014124,0.0342605972,0.0664808231,0.0609188826,0.3139513144,-0.0507360149,-0.0809043139,0.0100154307,0.0008222518,0.0391496839,-0.0831182291,-0.1130948823
1970,92.15,3.120,5.130,0.6464263577,0.0487,0.0764,0.0912,0.0648,0.2348709964,0.0315364736,0.0637446595,0.0547820721,0.2228841413,0.1210218070,0.1837137902,0.0230433856,0.0015125012,0.0355365775,0.0399595763,0.0016779253
1971,102.09,3.070,5.700,0.6439002471,0.0401,0.0725,0.0838,0.0597,0.2182024236,0.0338925733,0.0432457627,0.0335240991,0.2874473276,0.1323672163,0.1101258599,0.0104616708,0.0022538795,0.0358054485,0.1446427994,0.1092437292
1972,118.05,3.160,6.420,0.5956745946,0.0507,0.0708,0.0793,0.0599,0.2090789948,0.0342805005,0.0406546852,0.0340626360,0.3112948972,0.0568244212,0.0725975175,0.0063616019,0.0003114465,0.0383812030,0.1910590400,0.1575573258
1973,97.55,3.400,8.160,0.7555884634,0.0745,0.0768,0.0848,0.0726,0.2145485597,0.0128410744,0.0701070877,0.0875638595,0.3330837651,-0.0111038792,0.0113949647,0.0250687114,-0.0006401994,0.0404039100,-0.1479719152,-0.1748022641
1974,68.56,3.620,8.890,1.1200181747,0.0715,0.0889,0.1063,0.0760,0.2466067040,0.0088953649,0.0780445978,0.1213725466,0.1630644740,0.0434264930,-0.0306175125,0.0480428346,-0.0008304879,0.0365592112,-0.2641936315,-0.2966255466
1975,90.19,3.690,7.960,0.8763388510,0.0544,0.0879,0.1056,0.0805,0.2423885751,0.0235935606,0.0576107532,0.0699122198,0.2025998732,0.0918688772,0.1464425633,0.0242633906,-0.0004651156,0.0328406161,0.3695321860,0.3135679799
1976,107.46,4.090,9.910,0.7799731250,0.0435,0.0798,0.0912,0.0721,0.2383211300,0.0286909817,0.0496385748,0.0479994702,0.2079280292,0.1676451102,0.1864686938,0.0124671305,-0.0011227041,0.0341219851,0.2391630904,0.1912655029
1977,95.10,4.710,10.890,0.9603330245,0.0607,0.0819,0.0899,0.0803,0.2439071666,0.0305013731,0.0525748094,0.0674841386,0.2189359012,-0.0069885475,0.0170977832,0.0082597533,-0.0018338899,0.0369638618,-0.0742804606,-0.1169032202
1978,96.11,5.120,12.330,1.0457012956,0.0908,0.0916,0.0994,0.0898,0.2414815461,0.0147348054,0.0716653409,0.0899182468,0.2194491525,-0.0116586903,-0.0007035631,0.0158011387,-0.0015481539,0.0410214207,0.0639969677,0.0094649183
1979,107.94,5.700,14.860,1.0619500680,0.1204,0.1074,0.1206,0.1012,0.2376015949,0.0103823171,0.1002669381,0.1323309947,0.2200567387,-0.0125031159,-0.0420041055,0.0118230238,-0.0003711309,0.0405598303,0.1860050730,0.1227590079
1980,135.76,6.240,14.820,0.8915030239,0.1549,0.1321,0.1514,0.1199,0.2312670305,0.0269436677,0.1137708270,0.1232469404,0.2780242893,-0.0395298640,-0.0275652601,0.0273419060,0.0010201575,0.0378569437,0.3259711597,0.2597741975
1981,122.55,6.650,15.360,1.0611428571,0.1085,0.1423,0.1655,0.1334,0.2411982105,0.0120069048,0.1394259981,0.0890098125,0.3621751368,0.0185697056,-0.0123619324,0.0181306743,-0.0012794664,0.0390614715,-0.0487789823,-0.0965079322
1982,140.64,6.890,12.640,0.9322147266,0.0794,0.1183,0.1414,0.1095,0.2437211106,0.0030100517,0.1056549221,0.0385410810,0.3647539027,0.4035036914,0.4256189930,0.0334409250,-0.0013463488,0.0332308478,0.2215163443,0.1538766187
1983,164.93,7.120,14.030,0.7003591178,0.0900,0.1257,0.1375,0.1197,0.2611513114,0.0269866108,0.0858000621,0.0378783524,0.4300077533,0.0065190631,0.0625857638,0.0178707693,-0.0016937271,0.0355815837,0.2230337662,0.1702882827
1984,167.24,7.570,16.640,0.7330983765,0.0806,0.1213,0.1340,0.1170,0.2524065039,-0.0271530397,0.0948471758,0.0394572354,0.1707374124,0.1549249798,0.1686015770,0.0162509716,-0.0011276635,0.0389127283,0.0669004695,0.0184214963
1985,211.28,7.940,14.610,0.5926926882,0.0710,0.1016,0.1158,0.0956,0.2546870063,-0.0195978153,0.0745585238,0.0376537928,0.1764553905,0.3097114501,0.3009088979,0.0105177398,-0.0017213560,0.0378843600,0.3200817773,0.2661538846
1986,242.17,8.300,14.480,0.4984308658,0.0553,0.0849,0.0997,0.0789,0.2414408276,-0.0099559540,0.0596332451,0.0112479719,0.1647341554,0.2452123788,0.1984747725,0.0216761636,-0.0022403247,0.0346734592,0.1806500248,0.1385885652
1987,247.08,8.505,17.500,0.5088120155,0.0577,0.1011,0.1129,0.0920,0.2534810818,0.0133418785,0.0576111975,0.0442419914,0.1504068250,-0.0271656845,-0.0026759109,0.1033270148,-0.0027006902,0.0342907940,0.0514713010,0.0163946405
1988,277.72,9.730,23.750,0.4652835740,0.0807,0.0957,0.1065,0.0918,0.2539229468,-0.0216391556,0.0664878487,0.0440988368,0.1146444012,0.0966658520,0.1070412094,0.0292620232,-0.0022913172,0.0346288503,0.1695082090,0.1206067443
1989,353.40,11.050,22.870,0.3904547436,0.0763,0.0886,0.0982,0.0816,0.2578720270,-0.0123201636,0.0808430629,0.0463661613,0.0977872384,0.1809749975,0.1623136341,0.0172388835,-0.0029288342,0.0347825589,0.3139310631,0.2674501440
1990,330.22,12.090,21.340,0.4844968599,0.0674,0.0905,0.1043,0.0844,0.2759643933,-0.0017369336,0.0746998858,0.0608498923,0.0783453264,0.0616924995,0.0678273490,0.0254501898,-0.0023382328,0.0329354140,-0.0320313580,-0.0660374372
1991,417.09,12.200,15.970,0.4203444173,0.0407,0.0831,0.0926,0.0730,0.2656676247,0.0316383708,0.0536285955,0.0305910515,0.1527669525,0.1926493998,0.1988896677,0.0206796806,-0.0012532164,0.0304819616,0.3067831853,0.2660058884
1992,435.71,12.380,19.090,0.3941096142,0.0322,0.0798,0.0881,0.0726,0.2606506589,0.0388164548,0.0342670912,0.0289587593,0.1501948818,0.0805357964,0.0939343374,0.0094224630,-0.0011115236,0.0323958936,0.0773200101,0.0460148436
