yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
20082,"1,280.00",28.712,51.370,0.2744913881,0.0186,0.0568,0.0707,0.0460,-0.0162079865,-0.0483725324,0.0046500000,0.0247602188,-0.0237116890,-0.0248370724,0.0079695303,NaN,0.0375799219,-0.0257521280,-0.0308272290,7.103,12.860
20083,"1,166.36",28.854,45.950,0.2871235482,0.0113,0.0565,0.0731,0.0443,0.0104029431,-0.0503141122,0.0028250000,-0.0001462423,0.0330818624,-0.0853240679,0.0316884977,NaN,0.0364202396,-0.0785716601,-0.0837884025,7.038,9.730
20084,903.25,28.387,14.880,0.3549842247,0.0003,0.0505,0.0843,0.0303,0.0041068277,-0.0247680042,0.0000750000,-0.0391026725,0.2068890791,0.2335872520,0.1144355244,NaN,0.0339120302,-0.2189594288,-0.2249926989,7.154,-23.250
20091,797.87,27.255,6.860,0.4461408452,0.0021,0.0550,0.0842,0.0355,0.0150659578,-0.0377581365,0.0005250000,0.0118014727,-0.0607940129,-0.1243560813,0.0422966870,NaN,0.0310803374,-0.1055788261,-0.1136119989,5.96,7.520
20092,919.32,25.594,7.510,0.4018764058,0.0018,0.0561,0.0750,0.0429,-0.0008427914,-0.0225390120,0.0004500000,0.0140285554,-0.0805216310,0.0823546655,0.0174046799,NaN,0.0299527220,0.1568760776,0.1499779860,5.442,13.510
20093,"1,057.08",23.901,12.540,0.3495214306,0.0012,0.0513,0.0631,0.0403,0.0063188109,-0.0000633741,0.0003000000,0.0012795965,0.0430846625,0.1108479976,0.0078615462,NaN,0.0296312908,0.1524406042,0.1464594886,5.345,14.760
20094,"1,115.10",22.405,50.970,0.3255306601,0.0005,0.0526,0.0637,0.0458,0.0073032193,0.0105338212,0.0001250000,-0.0000926059,-0.0552509883,-0.0216581536,0.0068328056,NaN,0.0296912174,0.0606571298,0.0550163721,5.658,15.180
20101,"1,169.43",21.904,60.930,0.3818781703,0.0015,0.0527,0.0627,0.0458,0.0041252540,0.0138626995,0.0003750000,0.0077888761,0.0111964227,0.0180388911,0.0049983977,NaN,0.0297589302,0.0542079258,0.0490503586,5.459,17.480
20102,"1,030.71",22.037,67.100,0.4241765415,0.0012,0.0488,0.0623,0.0376,-0.0026985127,0.0187263840,0.0003000000,0.0015347078,0.1233327301,0.0839820965,0.0154933849,NaN,0.0305893195,-0.1154376527,-0.1199449909,5.575,19.680
20103,"1,141.20",22.353,71.860,0.3843057828,0.0015,0.0453,0.0566,0.0341,-0.0065682318,0.0032391646,0.0003750000,0.0021746611,0.0563754186,0.0497701326,0.0083906248,NaN,0.0312429721,0.1141709365,0.1078011149,5.661,19.520
20104,"1,257.64",22.729,77.350,0.3581003169,0.0014,0.0502,0.0610,0.0414,-0.0068310599,0.0125735064,0.0003500000,0.0033876734,-0.0820959556,-0.0294111966,0.0036500800,NaN,0.0316526197,0.1083202060,0.1019091872,6.034,20.670
20111,"1,325.83",23.431,81.310,0.3542699394,0.0010,0.0513,0.0603,0.0429,-0.0144144659,0.0124542545,0.0002500000,0.0195639181,-0.0091163671,-0.0115791018,0.0042760580,NaN,0.0314008273,0.0572764143,0.0523320085,6.161,21.440
20112,"1,320.64",24.341,83.870,0.3515700392,0.0004,0.0499,0.0575,0.0404,-0.0064565758,0.0117181203,0.0001000000,0.0100909754,0.0372021445,0.0281597312,0.0038654815,NaN,0.0320076148,0.0009555168,-0.0039666313,6.485,22.240
20113,"1,131.42",25.181,86.980,0.3999228470,0.0001,0.0409,0.0527,0.0265,-0.0020434164,0.0130924463,0.0000250000,0.0051700765,0.2117330899,0.1341002240,0.0279686936,NaN,0.0332734486,-0.1381784088,-0.1427747367,6.501,22.630
20114,"1,257.60",26.425,86.950,0.3572325407,0.0001,0.0393,0.0525,0.0248,0.0003534696,-0.0064950914,0.0000250000,-0.0053638563,0.0205627024,0.0233067864,0.0178444887,NaN,0.0338428503,0.1164158839,0.1097898554,7.278,20.640
20121,"1,408.47",27.353,88.540,0.3461819674,0.0008,0.0399,0.0523,0.0290,-0.0063437214,-0.0137731185,0.0002000000,0.0164841008,-0.0490179216,-0.0058533006,0.0024271486,NaN,0.0344030859,0.1263446952,0.1205289981,7.089,23.030
20122,"1,362.16",28.320,87.920,0.3551038851,0.0009,0.0364,0.0502,0.0225,-0.0085267320,-0.0198201448,0.0002250000,0.0003749041,0.0927633838,0.0671497660,0.0065608843,NaN,0.0348485310,-0.0267126599,-0.0320911468,7.452,21.620
